31-05-2025 17:24:56 | ERROR: status: 400 | Message: failed to login, User not found.
31-05-2025 17:26:46 | ERROR: status: 400 | Message: failed to login, User not found.
31-05-2025 17:36:02 | ERROR: status: 400 | Message: failed to login, User not found.
31-05-2025 17:36:11 | ERROR: status: 400 | Message: failed to login, User not found.
31-05-2025 17:36:14 | ERROR: status: 400 | Message: failed to login, User not found.
31-05-2025 17:37:21 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:39:16 | ERROR: status: 400 | Message: failed to login, password not matching.
31-05-2025 17:47:57 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:48:16 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:48:32 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:48:34 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:48:37 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:49:14 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:49:15 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:49:20 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:49:41 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:50:59 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:51:15 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:51:22 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:51:25 | INFO: status: 200 | Message: Token provided.
31-05-2025 17:53:54 | INFO: status: 200 | Message: Token provided.
